ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,BillingAddress,CandidateBallotInformation,PayingAdvertiserName,CommitteeName,CommitteeIdentificationNumber,DisclosureNameOfCommittee,AdvertisingJurisdiction,Gender,AgeBracket,CountryCode,Regions (Included),Regions (Excluded),Electoral Districts (Included),Electoral Districts (Excluded),Radius Targeting (Included),Radius Targeting (Excluded),Metros (Included),Metros (Excluded),Postal Codes (Included),Postal Codes (Excluded),Location Categories (Included),Location Categories (Excluded),Interests,OsType,Segments,Language,AdvancedDemographics,Targeting Connection Type,Targeting Carrier (ISP),CreativeProperties
88e8c3064c7907630c788b3ccd17e07f1a3c6576502601f87273b63ba54b6480,https://www.snap.com/political-ads/asset/b3021b7594baa2539f349eb5e74c401ee8c7c4cd394625f2c84c23049375d87f?mediaType=mp4,EUR,3000,244099,2023/03/12 23:00:00Z,2023/03/13 22:59:59Z,Initiative Media B.V,"Peter van Anrooystraat 7,Amsterdam,1101 BA,NL",,Ministerie v. Binnenlandse Zaken,,,,,,18+,netherlands,,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://ad.doubleclick.net/ddm/clk/552396129;361401668;m
19e62b452eb98533c52bfb34f706b04c138d738f1ab6b94e2cbf07e24702112b,https://www.snap.com/political-ads/asset/e77b9eaeb09075698fdaa742eb0eaa2137ea99de8f36611232a33d7b2388466f?mediaType=mp4,USD,117,63707,2022/12/19 16:30:42Z,2023/06/01 05:59:00Z,Townsquare Ignite,"1 Manhattanville Road, Ste 202,Purchase,10577,US",Right To Life,Wenatchee Right To Life,,,,,,30-,united states,,,,,latitude 47.42346;longitude -120.310349;radius 35.0,,,,,,,,"High Schoolers,Hipsters & Trendsetters,Teen & Young Adult Genre Fans,Concert & Festival Goers,Dance & Electronic Music Fans",,Provided by Advertiser,,,,,web_view_url:https://www.wenatcheeforlife.org/
d33980997eb1539b3ff2997083a834373e55b6d712f2846c51591d3a97306c3e,https://www.snap.com/political-ads/asset/5ed31e767b3590a9607ca98793dd77f6db267786dc4307dc1ed3168474307595?mediaType=mp4,USD,1123,83146,2023/01/23 08:00:00Z,2023/03/15 06:59:00Z,Coeur d'Alene Public Schools,"1400 N. Northwood Center Ct.,Coeur d'Alene,83814,US",CDA School District March Levy 2023,Coeur d'Alene Public Schools,,,,,,49-,united states,,,,,"latitude 47.674299;longitude -116.781153;radius 5.0,latitude 47.759064;longitude -116.786681;radius 4.0",,,,,,,,Political News Watchers,,Provided by Advertiser,en,Household Income: Under $50000,,,web_view_url:https://bit.ly/3iIVQ1X
41a82340efbfcc1e34a3d669f4b7c9aa82d59e26aa2368d599d65b2b153c4a6c,https://www.snap.com/political-ads/asset/baad7df04311a5ea1833458a6f38272d1a926d6a9b1042159744a3a3371f01f5?mediaType=mp4,GBP,71,22238,2023/02/01 12:39:09Z,2023/02/28 23:59:00Z,Medialab Group,"3-4a Little Portland Street,London,W1W 7JB,GB",,Mind Charity,,,,,,30-,united kingdom,,,,,,,,,,,,,,,,,,,,web_view_url:https://2727.givepenny.com/?utm_medium=paid&utm_source=snapchat&utm_campaign=2727%202023&utm_content=eb250992-aa6a-491d-8f13-c58a0c06171b
737d625e7c5621d5a7ef1e8dc331ea006618ec558ac14d37e9ca04fdda2ac488,https://www.snap.com/political-ads/asset/cd212884e638b25e7d7c624c09bff055d76963f65e1cc71dbfb3a60038461346?mediaType=mp4,USD,139,31620,2023/03/13 23:56:59Z,,Center for Biological Diversity,US,,Center for Biological Diversity,,,,,,,united states,,,,,,,,,,,,,,,,en,,,,web_view_url:https://act.biologicaldiversity.org/OtbVhxzBNU6tak3VSM598A2?sourceid=1009088
4f9f71aba1a41cb322a59c276bc733721ee7b115ccfd9dbfaf9df8f92e91f495,https://www.snap.com/political-ads/asset/144ec8d57915041405ca5f85a438490f2a944f058c4aab2b87534869219aaf51?mediaType=jpeg,USD,145,7727,2023/02/14 16:32:47Z,2023/03/14 03:59:59Z,Do Big Things,"PO Box 128,Mill Valley,94942,US",Advocacy for kids health,American Heart Association,,,,,,18-35,united states,,,,,,,"Atlanta,Columbus,Macon,Savannah,Augusta - Aiken,Albany,Tallahassee - Thomasville,Jacksonville,Orlando - Daytona Beach - Melbourne,Tampa - St. Petersburg (sarasota),West Palm Beach - Ft. Pierce,Miami - Ft. Lauderdale,Gainesville",,,,,,,,,,,,,web_view_url:https://voicesforhealthykids.org/take-action/campaigns/stop-corporate-lobbyists-from-stealing-your-voice?utm_source=snapchat&utm_medium=ads&utm_campaign=sprint2reg
9467ef0e07b78d1e209a4be06bda05dcaebf6fa5a7e03a65441650c33733d265,https://www.snap.com/political-ads/asset/7e92f18d0391b2a72dc0ee386bb22f97cdbcc5af5cc81bb5f40b9e542e532dae?mediaType=jpg,USD,335,24803,2023/01/20 22:00:06Z,2023/04/01 03:59:00Z,"American Civil Liberties Union, Inc.","125 Broad St., 18th Floor,New York,10004,US",,American Civil Liberties Union,,,,,,18+,united states,,,,,,,"New York,Los Angeles,Chicago,Dallas - Ft. Worth,Houston,Washington,Philadelphia,Atlanta,Miami - Ft. Lauderdale,Phoenix (prescott),Boston (manchester),San Francisco - Oakland - San Jose,Detroit,Seattle - Tacoma,Minneapolis - St. Paul",,,,,,"Advocates & Activists,Philanthropists",,Provided by Advertiser,en,,,,web_view_url:https://www.aclu.org/news/reproductive-freedom/aclu-history-showing-up-for-abortion-rights?utm_source=sc&utm_medium=pm&utm_campaign={{campaign.name}}&utm_content={{adSet.name}}-{{creative.name}}&utm_term=pm-{{adSet.id}}-{{ad.id}}&initms_aff=nat&initms_chan=pm&initms={{campaign.name}}-{{adSet.name}}-{{creative.name}}&ms_aff=nat&ms_chan=pm&ms={{campaign.name}}-{{adSet.name}}-{{creative.name}}
1784b329ca4dee80fb35cd65e97ad61313954347d4985c1592ef17862bb22900,https://www.snap.com/political-ads/asset/2b24050a36c3fb6555848892208c3465e771ee346e9f7d3b67f66ea88ae146df?mediaType=mp4,USD,112,4782,2023/02/22 19:03:03Z,2023/04/11 03:59:59Z,Wavelength Strategy,US,,MSEA,,,,,,18-30,united states,Maryland,,,,,,,,,,,,"Collegiates,Back To School Buyers - Education",,Provided by Advertiser,,"Education (Some College),Education (Bachelor Degree),Household Income ($1,000-$24,999),Household Income ($25,000-$49,999),Occupation (Legal, Education or Health)",,,web_view_url:https://marylandeducators.org/support-paid-teaching-internships-and-addressing-the-educator-shortage/?utm_source=snapchat&utm_content=2023leg&utm_medium=paid
591a879b8a6e6783203fb9dcaa708b06ae731c16d0216c09aa946cccec2e8e2d,https://www.snap.com/political-ads/asset/1ff74359a16b413b13979972d06925d4b5f60a0acd2a94f749a8956145aa7708?mediaType=mp4,USD,500,27377,2023/03/08 05:00:08Z,2023/03/13 05:59:00Z,Dreams In Action NM,US,2023 New Mexico House Bill 4,Dreams In Action NM,,,,,,18-35,united states,New Mexico,,,,,,,,,,,,"Advocates & Activists,Political News Watchers,High Schoolers,Collegiates",,Provided by Advertiser,"en,es",,WIFI,,
35da82b393564dcf7a154f6b1cede105c199f356b325427c43fba332b4fe351e,https://www.snap.com/political-ads/asset/5766199ec67b25a4033dc5fee390bd42861c496d774402f8ec0ef4cf954ebb73?mediaType=mp4;https://www.snap.com/political-ads/asset/2097c4148b49a67a0ab4605319e320fffde92ad318a1074521f9ea81f5215d67?mediaType=png,NOK,73,7470,2023/03/14 15:17:03Z,2023/03/21 22:59:03Z,Venstre,"Møllergata 16,Oslo,0179,NO",Venstre,Venstre,,,,,,17+,norway,,,,,,,,,,,,,,,Provided by Advertiser,nb,,,,
167f8d3cd71f2dbf71f6c82ca75d90b70111747a2661b341bde7cbf3e072c2ea,https://www.snap.com/political-ads/asset/fe70d99b0e6acc1f2da6d618b7529c257a6248d40290a7ead5bdbfe2c735a2af?mediaType=mp4,EUR,7,5005,2023/03/09 22:48:03Z,2023/03/17 21:59:00Z,Katri Savolainen,FI,,Katri Savolaisen tukiryhmä,,,,,,18+,finland,Central Finland,"Central Ostrobothnia,Kainuu,Kymenlaakso,Lapland,North Karelia,Northern Ostrobothnia,Northern Savonia,Ostrobothnia,Paijanne Tavastia,Pirkanmaa,Satakunta,South Karelia,Southern Ostrobothnia,Southern Savonia,Southwest Finland,Tavastia Proper,Uusimaa",,,,,,,,,,,,,Provided by Advertiser,fi,,,,web_view_url:https://www.katrisavolainen.fi
acdc29159e2f41b1d959d3d44d45effa98dc9670336df24c51810fcdc5f4fa0e,https://www.snap.com/political-ads/asset/2d9729e2d1f02381e9dd60d86cb38cf074c20d31c069170f35868d3d8de352ef?mediaType=mp4,USD,400,67056,2023/02/18 00:10:49Z,2023/02/28 07:59:49Z,Patagonia,"235 W Santa Clara St,Ventura,93001,US",,Patagonia,,,,,,,united states,"Washington,Oregon",,,,,,,,,,,,"Advocates & Activists,Green Living Enthusiasts,Outdoor & Nature Enthusiasts,Adventure Seekers",,Provided by Advertiser,,,,,web_view_url:https://www.greenrivervalleyalliance.org/petition
d21dd43c04cda6e9533252005d98ffcb914d2e4d63bf7f26794ae44df58dd677,https://www.snap.com/political-ads/asset/2bfb0924a31488fdeae25f0d8f333491227dae607dd5026d40c72d7701d62639?mediaType=jpeg,EUR,14,9647,2023/03/07 21:49:43Z,2023/03/11 21:59:00Z,Katri Savolainen,FI,,Katri Savolaisen tukiryhmä,,,,,,18+,finland,Central Finland,,,,,,,,,,,,,,Provided by Advertiser,,,,,web_view_url:https://www.katrisavolainen.fi
