Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
326441484085577,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties,8771,6
175740570505,GroenLinks,GroenLinks,8421,117
132031878648,Natuurmonumenten,Vereniging tot Behoud van Natuurmonumenten in Nederland,4567,132
526682507436451,PvdA Zuid-Holland,PvdA,3900,12
189701254384965,Eneco,Eneco,3288,21
100364422327666,BVNL,BVNL,3226,32
609816282477420,Forum voor Democratie -FVD,Forum voor Democratie,2847,220
113895885305052,Partij van de Arbeid (PvdA),Partij van de Arbeid (PvdA),2817,9
128393027527,SP,SP,2514,48
121264564551002,VVD,VVD,2349,98
1607001549529193,"Waterschap Amstel, Gooi en Vecht","Waterschap Amstel, Gooi en Vecht",2064,23
201797779950690,Waterschap Vechtstromen,Waterschap Vechtstromen,2039,4
406548067183,Provincie Noord-Brabant,Provincie Noord-Brabant,1896,12
1523833891223465,CDA Zuid-Holland,CDA Zuid-Holland,1893,42
102287806490622,Partij voor de Dieren,Partij voor de Dieren,1683,84
444504516075907,Shell,Shell,1599,3
106020448037192,JA21,JA21.nl,1457,66
164448196903465,Simavi,Simavi,1427,39
333726830018322,VVD Limburg,VVD Limburg,1265,105
123604241074923,PvdA Brabant,PvdA Brabant,1195,10
428670174395114,Vattenfall,Vattenfall Nederland,1150,18
338750440106782,BBB BoerBurgerBeweging,Boerburgerbeweging,1135,16
330384780486845,PvdA Provincie Groningen,PvdA Provincie Groningen,1054,30
202064936858448,Geert Wilders,Geert Wilders,1041,1
105326315333967,Volt Noord-Holland,Volt Noord-Holland,1031,53
226310417539522,PvdA Noord Holland,PvdA,1021,57
146644665960101,Volt Nederland,Volt Nederland,1012,168
134745106544502,Vogelbescherming Nederland,Vogelbescherming Nederland,988,20
715432808550645,CDA Brabant,CDA Brabant,981,36
111881632210618,GroenLinks Zuid-Holland,Groenlinks Zuid-Holland,939,28
288295911466,Greenpeace Nederland,Greenpeace Nederland,928,27
393631714068016,Hoogheemraadschap van Schieland en de Krimpenerwaard,Hoogheemraadschap van Schieland en de Krimpenerwaard,838,8
377904082385633,VVD Provincie Utrecht,VVD Provincie Utrecht,818,27
300057413403421,PvdA Gelderland,PvdA Gelderland,787,41
198652680155932,Waterschap Rivierenland,Waterschap Rivierenland,747,10
165914046762784,PvdA Limburg,PvdA Limburg,746,122
1530277467215488,VVD Drenthe,VVD,707,34
280080392065179,Waterschap De Dommel,Waterschap De Dommel,699,8
347623668624706,50PLUSpartij,VLG,673,7
109951188644465,Volt Zuid-Holland,Volt Zuid-Holland,672,73
57729029960,Amnesty International Nederland,Amnesty International Nederland,641,74
270279943093158,Hoogheemraadschap Hollands Noorderkwartier - HHNK,Hoogheemraadschap Hollands Noorderkwartier - HHNK,636,4
379837259062033,Thierry Baudet,Thierry Baudet,626,3
195643057135775,Partij voor de Dieren Zuid-Holland,Partij voor de Dieren Zuid Holland,622,8
208649455871752,Hoogheemraadschap van Rijnland,Hoogheemraadschap van Rijnland,618,4
142602429748465,Waterschappen,Unie van Waterschappen,591,6
